0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 da85 da85 0000 0000 0000 da85 da85 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 da85 da85 0000 0000 0000 da85 da85 da85 fc49 da85 0000 da85 da85 da85 da85 da85 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 fc49 da85 da85 da85 da85 da85 da85 fc49 fc49 fc49 fc49 da85 da85 fc49 fc49 fc49 da85 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 da85 da85 fc49 f3c7 fc49 fc49 fc49 fc49 fc49 eb87 da85 fc49 fc49 fc49 fc49 fc49 fc49 fc49 fc49 fc49 fc49 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 da85 da85 da85 da85 e2c5 fc49 f7cd fc49 f7cd fc49 fc49 fc49 fc49 f5cb f7cd fc49 fc49 fc49 fc49 fc49 fc49 da85 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 da85 dac5 fc49 fc49 f78d fc49 fc89 fd49 fc89 f7cd f7cd fc49 f7cd f7cd fc89 f7cd f6cb f7cd fc89 fd09 fc49 da85 0000 0000 0000 0000 0000 0000 
0000 0000 0000 da85 da85 fc49 fc49 fc49 fc49 f7cd fc49 f7cd fc49 fc49 fc49 f7cd f7cd f7cd ffff ffff f7cd f7cd fc49 fc49 fc49 fc49 da85 da85 da85 0000 0000 0000 
0000 0000 0000 da85 da85 fc49 fc49 f7cd fc49 fc49 f7cd f7cd f7cd fc49 fc49 f7cd fc49 ffe3 f7cd f7cd f7dd f7cd f7cd fc49 f7cd fc49 fc49 fc49 fc49 da85 0000 0000 
0000 0000 0000 e2c5 da85 fcc9 f7cd f74b f7cd f7cd f74b f7cd f7d5 f7d5 f7cd f7cd f7d5 ffff ffff f7cd ffef f7d5 f7cd f74b f7cd fc49 fc49 fc49 fc49 da85 0000 0000 
0000 0000 da85 da85 fc49 da85 f7cd fc49 f7cd ffff f7cd f7cd f7cd f7cd ffff f7cd ffff ffff ffff ffff ffef f7cd f7cd f7cd f7cd fc49 fc49 fc49 fc49 da85 0000 0000 
0000 0000 fc49 da85 f7cd fc49 fc49 fc49 f7cd ffff f7cd f7cd fc49 ffff ffff ffff ffff fde1 fc49 ffff ffff ffff f7cd f7cd f7cd fc49 f78d fc49 fc49 da85 da85 0000 
0000 0000 da85 fc49 fc49 fc49 f7cd f7cd fcc9 f7cd f7cd fe21 f7cd fc49 ffe3 ffff feef feef ffff ffff ffff ffef ffff fffd f7cd f7cd f68b fc49 da85 da85 0000 0000 
0000 0000 da85 da85 fc49 fc49 fc49 f7cd f7cd f7cd ffff fd59 ffff fc49 f5cb ffff f7cd ffff ffff ffff f6cb f7cd ffff fff7 f7cd f7cd f7cd fc49 da85 0000 0000 0000 
0000 0000 fc49 da85 fc49 fc49 fc49 fc49 f7cd ffff f7cd ffff ffff fc49 ffe3 ffff ffff ffe9 ffff ffff ffff f7cd f7cd ffff f7cd fc49 fc89 da85 0000 0000 0000 0000 
0000 0000 da85 eb47 da85 f5cb fc49 f5cb f68b ffe9 ffff ff77 f7cd f5cb ffe3 ffff fde1 ffe3 ffff ffff ffff ffff ffff f7d1 f7cd f7cd fc49 eb47 da85 0000 0000 0000 
